productivity,mpc,wage,search_prob,error
1.9,0.725,62.5,0.4,7185231565.046385
1.9,0.725,62.5,0.45000000000000007,7464525959.961872
1.9,0.725,62.5,0.5,7754122490.35652
1.9,0.725,75.0,0.30000000000000004,17599768636.23023
1.9,0.725,75.0,0.35000000000000003,19956306226.619793
1.9,0.725,75.0,0.4,21855694718.080685
1.9,0.725,75.0,0.45000000000000007,23358081135.929153
1.9,0.725,75.0,0.5,24666112881.50967
1.9,0.75,25.0,0.30000000000000004,26343070773.949585
1.9,0.75,25.0,0.35000000000000003,24434518807.12635
1.9,0.75,25.0,0.4,23047447896.633045
1.9,0.75,25.0,0.45000000000000007,21991932510.649357
1.9,0.75,25.0,0.5,21147255213.700275
1.9,0.75,37.5,0.30000000000000004,10956693131.072367
1.9,0.75,37.5,0.35000000000000003,9104139367.194925
1.9,0.75,37.5,0.4,7781108154.322564
1.9,0.75,37.5,0.45000000000000007,6781451647.321971
1.9,0.75,37.5,0.5,5994693656.451822
1.9,0.75,50.0,0.30000000000000004,4370683560.4934025
1.9,0.75,50.0,0.35000000000000003,3247644123.800025
1.9,0.75,50.0,0.4,2493702710.460345
1.9,0.75,50.0,0.45000000000000007,1938982797.0928109
1.9,0.75,50.0,0.5,1530316082.0039039
1.9,0.75,62.5,0.30000000000000004,6585042062.21269
1.9,0.75,62.5,0.35000000000000003,6865033076.941648
1.9,0.75,62.5,0.4,7185231565.046385
1.9,0.75,62.5,0.45000000000000007,7464525959.961872
1.9,0.75,62.5,0.5,7754122490.35652
1.9,0.75,75.0,0.30000000000000004,17599768636.23023
1.9,0.75,75.0,0.35000000000000003,19956306226.619793
1.9,0.75,75.0,0.4,21855694718.080685
1.9,0.75,75.0,0.45000000000000007,23358081135.929153
1.9,0.75,75.0,0.5,24666112881.50967
2.0,0.6499999999999999,25.0,0.30000000000000004,24508425923.73133
2.0,0.6499999999999999,25.0,0.35000000000000003,22579755561.075363
2.0,0.6499999999999999,25.0,0.4,21184211883.845066
2.0,0.6499999999999999,25.0,0.45000000000000007,20111580170.185844
2.0,0.6499999999999999,25.0,0.5,19260187539.000328
2.0,0.6499999999999999,37.5,0.30000000000000004,9485398430.367073
2.0,0.6499999999999999,37.5,0.35000000000000003,7697081339.173773
2.0,0.6499999999999999,37.5,0.4,6428458147.473212
2.0,0.6499999999999999,37.5,0.45000000000000007,5464936629.221831
2.0,0.6499999999999999,37.5,0.5,4713687671.558334
2.0,0.6499999999999999,50.0,0.30000000000000004,4116520725.7157874
2.0,0.6499999999999999,50.0,0.35000000000000003,3205015874.5122538
2.0,0.6499999999999999,50.0,0.4,2613108051.104698
2.0,0.6499999999999999,50.0,0.45000000000000007,2188980763.0861144
2.0,0.6499999999999999,50.0,0.5,1888435471.6878264
2.0,0.6499999999999999,62.5,0.30000000000000004,8401792809.777476
2.0,0.6499999999999999,62.5,0.35000000000000003,9103559167.090809
2.0,0.6499999999999999,62.5,0.4,9738161594.739521
2.0,0.6499999999999999,62.5,0.45000000000000007,10283712571.778698
2.0,0.6499999999999999,62.5,0.5,10784430939.388805
2.0,0.6499999999999999,75.0,0.30000000000000004,22341214682.552135
2.0,0.6499999999999999,75.0,0.35000000000000003,25392711216.90944
2.0,0.6499999999999999,75.0,0.4,27803618778.377678
2.0,0.6499999999999999,75.0,0.45000000000000007,29749132055.299583
2.0,0.6499999999999999,75.0,0.5,31401674074.661274
2.0,0.6749999999999999,25.0,0.30000000000000004,24508425923.73133
2.0,0.6749999999999999,25.0,0.35000000000000003,22579755561.075363
2.0,0.6749999999999999,25.0,0.4,21184211883.845066
2.0,0.6749999999999999,25.0,0.45000000000000007,20111580170.185844
2.0,0.6749999999999999,25.0,0.5,19260187539.000328
2.0,0.6749999999999999,37.5,0.30000000000000004,9485398430.367073
2.0,0.6749999999999999,37.5,0.35000000000000003,7697081339.173773
2.0,0.6749999999999999,37.5,0.4,6428458147.473212
2.0,0.6749999999999999,37.5,0.45000000000000007,5464936629.221831
2.0,0.6749999999999999,37.5,0.5,4713687671.558334
2.0,0.6749999999999999,50.0,0.30000000000000004,4116520725.7157874
2.0,0.6749999999999999,50.0,0.35000000000000003,3205015874.5122538
2.0,0.6749999999999999,50.0,0.4,2613108051.104698
2.0,0.6749999999999999,50.0,0.45000000000000007,2188980763.0861144
2.0,0.6749999999999999,50.0,0.5,1888435471.6878264
2.0,0.6749999999999999,62.5,0.30000000000000004,8401792809.777476
2.0,0.6749999999999999,62.5,0.35000000000000003,9103559167.090809
2.0,0.6749999999999999,62.5,0.4,9738161594.739521
2.0,0.6749999999999999,62.5,0.45000000000000007,10283712571.778698
2.0,0.6749999999999999,62.5,0.5,10784430939.388805
2.0,0.6749999999999999,75.0,0.30000000000000004,22341214682.552135
2.0,0.6749999999999999,75.0,0.35000000000000003,25392711216.90944
2.0,0.6749999999999999,75.0,0.4,27803618778.377678
2.0,0.6749999999999999,75.0,0.45000000000000007,29749132055.299583
2.0,0.6749999999999999,75.0,0.5,31401674074.661274
2.0,0.7,25.0,0.30000000000000004,24508425923.73133
2.0,0.7,25.0,0.35000000000000003,22579755561.075363
2.0,0.7,25.0,0.4,21184211883.845066
